R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Mauricio Rua;Alexander Gustafsson;0;0;41 of 95;72 of 156;43%;46%;51 of 105;128 of 215;1 of 3;6 of 12;33%;50%;1;0;0;2;0;0;23 of 69;57 of 134;7 of 13;9 of 13;11 of 13;6 of 9;27 of 76;47 of 123;14 of 19;10 of 14;0 of 0;15 of 19;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;December 08, 2012;Seattle, Washington, USA;Light Heavyweight Bout;Alexander Gustafsson
BJ Penn;Rory MacDonald;0;0;24 of 89;116 of 203;26%;57%;53 of 119;125 of 212;0 of 2;1 of 3;0%;33%;0;0;0;0;0;0;20 of 82;78 of 148;4 of 7;29 of 41;0 of 0;9 of 14;21 of 84;105 of 185;3 of 5;10 of 16;0 of 0;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;December 08, 2012;Seattle, Washington, USA;Welterweight Bout;Rory MacDonald
Mike Swick;Matt Brown;0;1;9 of 29;25 of 39;31%;64%;19 of 42;37 of 52;0 of 2;1 of 1;0%;100%;0;2;1;0;0;0;9 of 29;13 of 26;0 of 0;12 of 13;0 of 0;0 of 0;5 of 25;8 of 18;3 of 3;15 of 19;1 of 1;2 of 2;KO/TKO;2;2:31;3 Rnd (5-5-5);Dan Miragliotta;December 08, 2012;Seattle, Washington, USA;Welterweight Bout;Matt Brown
Yves Edwards;Jeremy Stephens;1;0;8 of 21;5 of 21;38%;23%;12 of 26;6 of 22;0 of 1;0 of 1;0%;0%;0;0;0;0;0;0;5 of 16;3 of 18;1 of 2;1 of 1;2 of 3;1 of 2;6 of 19;4 of 20;0 of 0;1 of 1;2 of 2;0 of 0;KO/TKO;1;1:55;3 Rnd (5-5-5);Steve Newport;December 08, 2012;Seattle, Washington, USA;Lightweight Bout;Yves Edwards
Raphael Assuncao;Mike Easton;0;0;57 of 156;30 of 155;36%;19%;60 of 159;34 of 159;0 of 6;0 of 3;0%;0%;0;0;0;0;0;0;28 of 118;7 of 118;6 of 12;3 of 14;23 of 26;20 of 23;45 of 140;29 of 153;12 of 16;1 of 2;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Newport;December 08, 2012;Seattle, Washington, USA;Bantamweight Bout;Raphael Assuncao
Ramsey Nijem;Joe Proctor;1;0;49 of 117;21 of 68;41%;30%;117 of 204;36 of 84;5 of 10;0 of 0;50%;0%;0;4;2;1;0;0;35 of 92;17 of 61;9 of 18;2 of 4;5 of 7;2 of 3;32 of 81;17 of 58;9 of 20;3 of 9;8 of 16;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;December 08, 2012;Seattle, Washington, USA;Lightweight Bout;Ramsey Nijem
Daron Cruickshank;Henry Martinez;1;0;52 of 91;21 of 102;57%;20%;55 of 95;29 of 123;0 of 0;0 of 2;0%;0%;0;0;0;0;0;0;28 of 61;16 of 93;21 of 27;1 of 4;3 of 3;4 of 5;30 of 57;17 of 87;22 of 34;4 of 15;0 of 0;0 of 0;KO/TKO;2;2:57;3 Rnd (5-5-5);Anthony Hamlett;December 08, 2012;Seattle, Washington, USA;Lightweight Bout;Daron Cruickshank
Marcus LeVesseur;Abel Trujillo;0;1;9 of 16;57 of 75;56%;76%;11 of 19;94 of 117;2 of 10;1 of 1;20%;100%;0;2;0;0;0;0;3 of 7;22 of 36;1 of 1;28 of 32;5 of 8;7 of 7;3 of 6;1 of 10;6 of 10;28 of 33;0 of 0;28 of 32;KO/TKO;2;3:56;3 Rnd (5-5-5);Anthony Hamlett;December 08, 2012;Seattle, Washington, USA;Lightweight Bout;Abel Trujillo
Dennis Siver;Nam Phan;0;0;128 of 273;24 of 120;46%;20%;222 of 389;24 of 120;2 of 4;0 of 0;50%;0%;0;0;4;0;0;0;91 of 216;17 of 94;15 of 32;2 of 19;22 of 25;5 of 7;87 of 222;24 of 120;2 of 3;0 of 0;39 of 48;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Anthony Hamlett;December 08, 2012;Seattle, Washington, USA;Featherweight Bout;Dennis Siver
Scott Jorgensen;John Albert;0;0;12 of 18;5 of 10;66%;50%;16 of 22;10 of 15;0 of 1;0 of 0;0%;0%;1;1;2;1;0;1;8 of 14;5 of 10;3 of 3;0 of 0;1 of 1;0 of 0;1 of 4;3 of 8;0 of 0;0 of 0;11 of 14;2 of 2;Submission;1;4:59;3 Rnd (5-5-5);Herb Dean;December 08, 2012;Seattle, Washington, USA;Bantamweight Bout;Scott Jorgensen
Georges St-Pierre;Carlos Condit;0;1;71 of 132;36 of 148;53%;24%;172 of 237;190 of 323;7 of 8;0 of 0;87%;0%;0;0;8;0;0;1;52 of 104;27 of 117;14 of 16;4 of 13;5 of 12;5 of 18;26 of 67;23 of 128;0 of 1;0 of 1;45 of 64;13 of 19;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Yves Lavigne;November 17, 2012;Montreal, Quebec, Canada;UFC Welterweight Title Bout;Georges St-Pierre
Johny Hendricks;Martin Kampmann;1;0;3 of 7;0 of 4;42%;0%;3 of 7;0 of 4;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;3 of 7;0 of 3;0 of 0;0 of 1;0 of 0;0 of 0;2 of 6;0 of 4;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;0:46;3 Rnd (5-5-5);Dan Miragliotta;November 17, 2012;Montreal, Quebec, Canada;Welterweight Bout;Johny Hendricks
Francis Carmont;Tom Lawlor;0;0;34 of 84;20 of 75;40%;26%;44 of 94;31 of 89;0 of 2;2 of 8;0%;25%;1;2;0;0;0;0;15 of 57;14 of 67;15 of 22;0 of 2;4 of 5;6 of 6;16 of 56;18 of 68;17 of 24;2 of 6;1 of 4;0 of 1;Decision - Split;3;5:00;3 Rnd (5-5-5);Philippe Chartier;November 17, 2012;Montreal, Quebec, Canada;Middleweight Bout;Francis Carmont
Mark Bocek;Rafael Dos Anjos;0;0;19 of 59;54 of 134;32%;40%;33 of 73;90 of 172;0 of 11;4 of 5;0%;80%;1;0;0;2;0;0;4 of 38;33 of 103;3 of 6;14 of 21;12 of 15;7 of 10;12 of 47;26 of 90;7 of 12;20 of 30;0 of 0;8 of 14;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;November 17, 2012;Montreal, Quebec, Canada;Lightweight Bout;Rafael Dos Anjos
Mark Hominick;Pablo Garza;1;0;39 of 66;83 of 197;59%;42%;78 of 109;149 of 275;1 of 1;2 of 5;100%;40%;0;1;0;1;0;0;18 of 39;54 of 161;14 of 19;19 of 26;7 of 8;10 of 10;26 of 50;39 of 117;1 of 2;4 of 10;12 of 14;40 of 70;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc-Andre Cote;November 17, 2012;Montreal, Quebec, Canada;Featherweight Bout;Pablo Garza
Patrick Cote;Alessio Sakara;0;1;14 of 33;24 of 34;42%;70%;14 of 33;24 of 34;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;9 of 27;19 of 26;3 of 3;5 of 8;2 of 3;0 of 0;8 of 23;3 of 10;6 of 10;12 of 14;0 of 0;9 of 10;DQ;1;1:26;3 Rnd (5-5-5);Dan Miragliotta;November 17, 2012;Montreal, Quebec, Canada;Middleweight Bout;Patrick Cote
Cyrille Diabate;Chad Griggs;1;0;6 of 7;2 of 3;85%;66%;9 of 10;4 of 6;2 of 2;1 of 2;100%;50%;1;0;4;0;0;0;6 of 6;0 of 1;0 of 1;1 of 1;0 of 0;1 of 1;1 of 2;2 of 2;3 of 3;0 of 1;2 of 2;0 of 0;Submission;1;2:24;3 Rnd (5-5-5);Philippe Chartier;November 17, 2012;Montreal, Quebec, Canada;Light Heavyweight Bout;Cyrille Diabate
Sam Stout;John Makdessi;0;0;63 of 369;84 of 157;17%;53%;63 of 369;84 of 157;0 of 5;0 of 0;0%;0%;0;0;0;0;0;0;31 of 318;66 of 125;16 of 33;9 of 20;16 of 18;9 of 12;62 of 366;82 of 155;0 of 1;2 of 2;1 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc-Andre Cote;November 17, 2012;Montreal, Quebec, Canada;Lightweight Bout;John Makdessi
Antonio Carvalho;Rodrigo Damm;0;0;48 of 150;50 of 158;32%;31%;48 of 150;50 of 158;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;9 of 96;30 of 119;0 of 2;8 of 12;39 of 52;12 of 27;48 of 150;50 of 158;0 of 0;0 of 0;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;November 17, 2012;Montreal, Quebec, Canada;Featherweight Bout;Antonio Carvalho
Matthew Riddle;John Maguire;0;0;45 of 163;37 of 109;27%;33%;74 of 195;38 of 110;1 of 4;0 of 6;25%;0%;0;2;0;0;0;0;22 of 122;30 of 99;6 of 17;0 of 1;17 of 24;7 of 9;30 of 143;35 of 107;15 of 15;2 of 2;0 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;November 17, 2012;Montreal, Quebec, Canada;Welterweight Bout;Matthew Riddle
Ivan Menjivar;Azamat Gashimov;0;0;6 of 10;4 of 13;60%;30%;25 of 32;18 of 28;0 of 0;1 of 1;0%;100%;1;0;0;0;0;0;3 of 5;3 of 11;1 of 3;0 of 1;2 of 2;1 of 1;4 of 8;2 of 8;0 of 0;0 of 0;2 of 2;2 of 5;Submission;1;2:44;3 Rnd (5-5-5);Philippe Chartier;November 17, 2012;Montreal, Quebec, Canada;Bantamweight Bout;Ivan Menjivar
Steven Siler;Darren Elkins;0;0;15 of 48;44 of 91;31%;48%;61 of 96;103 of 159;0 of 0;6 of 7;0%;85%;1;6;0;3;0;0;8 of 40;36 of 76;4 of 4;5 of 12;3 of 4;3 of 3;9 of 37;10 of 34;5 of 10;11 of 16;1 of 1;23 of 41;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc-Andre Cote;November 17, 2012;Montreal, Quebec, Canada;Featherweight Bout;Darren Elkins
Rich Franklin;Cung Le;0;1;12 of 21;8 of 16;57%;50%;12 of 21;8 of 16;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;6 of 14;4 of 11;0 of 0;2 of 3;6 of 7;2 of 2;12 of 21;8 of 16;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;2:17;5 Rnd (5-5-5-5-5);Marc Goddard;November 10, 2012;Macau, China;Middleweight Bout;Cung Le
Thiago Silva;Stanislav Nedkov;0;1;62 of 95;18 of 70;65%;25%;112 of 154;24 of 79;1 of 1;0 of 4;100%;0%;1;0;3;1;0;0;20 of 46;10 of 58;12 of 16;1 of 3;30 of 33;7 of 9;26 of 47;5 of 46;30 of 40;13 of 22;6 of 8;0 of 2;Overturned;3;1:45;3 Rnd (5-5-5);Steve Perceval;November 10, 2012;Macau, China;Light Heavyweight Bout;
Dong Hyun Kim;Paulo Thiago;0;0;22 of 40;2 of 10;55%;20%;76 of 104;4 of 12;3 of 6;0 of 0;50%;0%;2;0;3;0;0;0;18 of 32;0 of 7;1 of 3;1 of 2;3 of 5;1 of 1;0 of 7;1 of 8;0 of 0;1 of 2;22 of 33;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;November 10, 2012;Macau, China;Welterweight Bout;Dong Hyun Kim
Takanori Gomi;Mac Danzig;1;0;54 of 140;64 of 122;38%;52%;88 of 175;95 of 155;1 of 2;2 of 5;50%;40%;0;1;1;1;0;0;31 of 108;48 of 97;11 of 19;9 of 16;12 of 13;7 of 9;43 of 128;51 of 102;10 of 11;9 of 13;1 of 1;4 of 7;Decision - Split;3;5:00;3 Rnd (5-5-5);Steve Perceval;November 10, 2012;Macau, China;Lightweight Bout;Takanori Gomi
Tiequan Zhang;Jon Tuck;0;0;40 of 93;36 of 82;43%;43%;46 of 102;91 of 145;2 of 2;0 of 0;100%;0%;0;2;1;5;0;1;33 of 81;24 of 66;2 of 3;10 of 14;5 of 9;2 of 2;40 of 93;35 of 81;0 of 0;1 of 1;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;November 10, 2012;Macau, China;Lightweight Bout;Jon Tuck
Takeya Mizugaki;Jeff Hougland;0;0;63 of 112;14 of 25;56%;56%;103 of 164;73 of 89;4 of 4;1 of 7;100%;14%;0;0;2;0;0;0;53 of 98;5 of 12;7 of 10;8 of 11;3 of 4;1 of 2;10 of 26;8 of 19;6 of 9;5 of 5;47 of 77;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;November 10, 2012;Macau, China;Bantamweight Bout;Takeya Mizugaki
Alex Caceres;Motonobu Tezuka;0;0;64 of 124;22 of 75;51%;29%;83 of 143;40 of 108;0 of 0;2 of 12;0%;16%;0;0;1;1;0;0;40 of 92;8 of 56;14 of 18;1 of 2;10 of 14;13 of 17;55 of 115;21 of 74;6 of 6;1 of 1;3 of 3;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;November 10, 2012;Macau, China;Bantamweight Bout;Alex Caceres
Yasuhiro Urushitani;John Lineker;0;0;62 of 158;77 of 224;39%;34%;62 of 158;79 of 226;0 of 1;0 of 0;0%;0%;0;0;0;0;0;0;34 of 110;38 of 140;13 of 26;28 of 62;15 of 22;11 of 22;62 of 158;74 of 218;0 of 0;1 of 4;0 of 0;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;November 10, 2012;Macau, China;Flyweight Bout;John Lineker
Riki Fukuda;Tom DeBlass;0;0;85 of 164;44 of 120;51%;36%;229 of 325;67 of 144;3 of 5;0 of 0;60%;0%;0;0;1;0;0;0;35 of 102;26 of 98;18 of 26;9 of 11;32 of 36;9 of 11;45 of 122;35 of 111;32 of 34;9 of 9;8 of 8;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;November 10, 2012;Macau, China;Middleweight Bout;Riki Fukuda
Anderson Silva;Stephan Bonnar;1;0;19 of 27;12 of 43;70%;27%;27 of 35;28 of 59;0 of 0;0 of 3;0%;0%;0;0;0;0;0;0;15 of 23;9 of 33;4 of 4;2 of 7;0 of 0;1 of 3;4 of 7;6 of 27;10 of 12;6 of 16;5 of 8;0 of 0;KO/TKO;1;4:40;3 Rnd (5-5-5);Marc Goddard;October 13, 2012;Rio de Janeiro, Brazil;Light Heavyweight Bout;Anderson Silva
Minotauro Nogueira;Dave Herman;1;0;20 of 49;13 of 32;40%;40%;45 of 85;14 of 33;1 of 3;2 of 2;33%;100%;3;0;4;1;0;0;19 of 48;3 of 19;0 of 0;5 of 8;1 of 1;5 of 5;17 of 40;11 of 26;0 of 2;1 of 3;3 of 7;1 of 3;Submission;2;4:31;3 Rnd (5-5-5);Mario Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Heavyweight Bout;Minotauro Nogueira
Glover Teixeira;Fabio Maldonado;1;0;85 of 145;10 of 36;58%;27%;117 of 183;14 of 40;3 of 3;0 of 0;100%;0%;1;0;5;0;0;0;84 of 143;9 of 34;1 of 2;1 of 2;0 of 0;0 of 0;19 of 45;10 of 36;0 of 2;0 of 0;66 of 98;0 of 0;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Mario Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Light Heavyweight Bout;Glover Teixeira
Jon Fitch;Erick Silva;0;0;82 of 131;19 of 33;62%;57%;176 of 234;24 of 38;6 of 9;2 of 3;66%;66%;2;2;4;1;1;0;69 of 112;12 of 23;10 of 14;4 of 7;3 of 5;3 of 3;5 of 12;4 of 10;16 of 28;7 of 14;61 of 91;8 of 9;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 13, 2012;Rio de Janeiro, Brazil;Welterweight Bout;Jon Fitch
Phil Davis;Wagner Prado;0;0;29 of 49;2 of 11;59%;18%;59 of 82;2 of 11;5 of 6;0 of 0;83%;0%;2;0;4;0;0;0;16 of 33;0 of 9;11 of 13;2 of 2;2 of 3;0 of 0;3 of 14;1 of 10;5 of 6;1 of 1;21 of 29;0 of 0;Submission;2;4:29;3 Rnd (5-5-5);Marc Goddard;October 13, 2012;Rio de Janeiro, Brazil;Light Heavyweight Bout;Phil Davis
Demian Maia;Rick Story;0;0;5 of 8;3 of 5;62%;60%;9 of 12;10 of 12;3 of 5;0 of 0;60%;0%;1;0;1;0;0;0;4 of 7;1 of 3;1 of 1;2 of 2;0 of 0;0 of 0;1 of 1;2 of 4;0 of 0;1 of 1;4 of 7;0 of 0;Submission;1;2:30;3 Rnd (5-5-5);Mario Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Welterweight Bout;Demian Maia
Rony Jason;Sam Sicilia;0;0;46 of 96;39 of 96;47%;40%;52 of 102;48 of 108;1 of 1;1 of 1;100%;100%;1;0;0;0;0;0;33 of 77;28 of 78;12 of 18;10 of 16;1 of 1;1 of 2;36 of 86;31 of 83;2 of 2;1 of 1;8 of 8;7 of 12;KO/TKO;2;4:16;3 Rnd (5-5-5);Fernando Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Featherweight Bout;Rony Jason
Gleison Tibau;Francisco Trinaldo;0;1;36 of 63;45 of 97;57%;46%;96 of 134;70 of 129;5 of 6;0 of 0;83%;0%;2;2;3;2;0;0;26 of 52;27 of 77;6 of 7;14 of 16;4 of 4;4 of 4;13 of 34;19 of 58;17 of 20;15 of 18;6 of 9;11 of 21;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 13, 2012;Rio de Janeiro, Brazil;Lightweight Bout;Gleison Tibau
Diego Brandao;Joey Gambino;1;0;33 of 77;39 of 109;42%;35%;84 of 133;59 of 129;3 of 4;0 of 4;75%;0%;0;1;3;0;0;0;22 of 60;22 of 88;4 of 8;9 of 12;7 of 9;8 of 9;20 of 57;33 of 102;3 of 3;2 of 2;10 of 17;4 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Fernando Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Featherweight Bout;Diego Brandao
Sergio Moraes;Renee Forte;0;0;16 of 45;26 of 76;35%;34%;27 of 58;38 of 88;4 of 11;0 of 0;36%;0%;1;0;2;0;0;0;13 of 36;12 of 59;3 of 8;7 of 10;0 of 1;7 of 7;14 of 40;16 of 62;1 of 4;5 of 8;1 of 1;5 of 6;Submission;3;3:10;3 Rnd (5-5-5);Mario Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Welterweight Bout;Sergio Moraes
Luiz Cane;Chris Camozzi;0;0;55 of 133;97 of 269;41%;36%;64 of 142;97 of 269;1 of 3;0 of 1;33%;0%;1;0;1;0;0;0;42 of 115;67 of 226;6 of 11;11 of 19;7 of 7;19 of 24;49 of 123;93 of 263;4 of 8;4 of 6;2 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;October 13, 2012;Rio de Janeiro, Brazil;Middleweight Bout;Chris Camozzi
Cristiano Marcello;Reza Madadi;0;0;72 of 241;77 of 151;29%;50%;77 of 251;88 of 163;0 of 1;3 of 4;0%;75%;0;0;0;0;0;0;52 of 205;70 of 140;12 of 24;5 of 8;8 of 12;2 of 3;68 of 229;64 of 131;4 of 10;13 of 20;0 of 2;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Fernando Yamasaki;October 13, 2012;Rio de Janeiro, Brazil;Lightweight Bout;Cristiano Marcello
Travis Browne;Antonio Silva;0;1;8 of 19;15 of 20;42%;75%;8 of 19;23 of 28;0 of 0;0 of 2;0%;0%;0;0;0;0;0;0;2 of 13;8 of 13;2 of 2;1 of 1;4 of 4;6 of 6;6 of 16;7 of 11;2 of 3;4 of 4;0 of 0;4 of 5;KO/TKO;1;3:27;5 Rnd (5-5-5-5-5);Herb Dean;October 05, 2012;Minneapolis, Minnesota, USA;Heavyweight Bout;Antonio Silva
Jake Ellenberger;Jay Hieron;0;0;25 of 81;32 of 127;30%;25%;27 of 83;43 of 139;2 of 4;0 of 2;50%;0%;0;0;0;0;0;0;18 of 72;17 of 107;1 of 3;3 of 5;6 of 6;12 of 15;19 of 72;31 of 125;1 of 3;1 of 2;5 of 6;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Josh Rosenthal;October 05, 2012;Minneapolis, Minnesota, USA;Welterweight Bout;Jake Ellenberger
John Dodson;Jussier Formiga;2;0;33 of 112;9 of 37;29%;24%;36 of 115;9 of 37;0 of 2;0 of 5;0%;0%;0;0;0;0;0;0;20 of 93;8 of 36;8 of 14;1 of 1;5 of 5;0 of 0;23 of 102;9 of 37;0 of 0;0 of 0;10 of 10;0 of 0;KO/TKO;2;4:35;3 Rnd (5-5-5);Darryl Guthmiller;October 05, 2012;Minneapolis, Minnesota, USA;Flyweight Bout;John Dodson
Josh Neer;Justin Edwards;0;0;0 of 0;6 of 7;0%;85%;0 of 0;7 of 8;0 of 1;0 of 1;0%;0%;0;1;0;0;0;0;0 of 0;4 of 5;0 of 0;1 of 1;0 of 0;1 of 1;0 of 0;6 of 7;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;0:45;3 Rnd (5-5-5);Nick Gamst;October 05, 2012;Minneapolis, Minnesota, USA;Welterweight Bout;Justin Edwards
Michael Johnson;Danny Castillo;1;1;17 of 36;17 of 35;47%;48%;18 of 38;29 of 47;0 of 0;0 of 1;0%;0%;0;1;0;2;0;0;8 of 25;14 of 31;2 of 4;0 of 1;7 of 7;3 of 3;13 of 32;5 of 18;0 of 0;0 of 0;4 of 4;12 of 17;KO/TKO;2;1:06;3 Rnd (5-5-5);Josh Rosenthal;October 05, 2012;Minneapolis, Minnesota, USA;Lightweight Bout;Michael Johnson
Aaron Simpson;Mike Pierce;1;1;28 of 44;10 of 21;63%;47%;50 of 72;21 of 32;1 of 1;0 of 2;100%;0%;1;0;1;0;0;0;23 of 32;8 of 19;4 of 11;1 of 1;1 of 1;1 of 1;10 of 20;6 of 15;14 of 20;2 of 4;4 of 4;2 of 2;KO/TKO;2;0:29;3 Rnd (5-5-5);Darryl Guthmiller;October 05, 2012;Minneapolis, Minnesota, USA;Welterweight Bout;Mike Pierce
Marcus LeVesseur;Carlo Prater;0;0;53 of 77;42 of 79;68%;53%;109 of 140;54 of 91;3 of 7;0 of 5;42%;0%;0;3;1;0;0;0;10 of 29;0 of 19;9 of 10;29 of 47;34 of 38;13 of 13;10 of 27;5 of 24;42 of 48;37 of 55;1 of 2;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Josh Rosenthal;October 05, 2012;Minneapolis, Minnesota, USA;Lightweight Bout;Marcus LeVesseur
Jacob Volkmann;Shane Roller;0;0;8 of 25;0 of 7;32%;0%;14 of 32;0 of 7;1 of 4;0 of 0;25%;0%;2;0;1;0;0;0;6 of 18;0 of 7;2 of 4;0 of 0;0 of 3;0 of 0;3 of 16;0 of 7;0 of 0;0 of 0;5 of 9;0 of 0;Submission;1;2:38;3 Rnd (5-5-5);Herb Dean;October 05, 2012;Minneapolis, Minnesota, USA;Lightweight Bout;Jacob Volkmann
Bart Palaszewski;Diego Nunes;0;2;37 of 119;61 of 137;31%;44%;45 of 128;68 of 148;0 of 0;3 of 6;0%;50%;2;0;0;1;0;0;16 of 88;36 of 106;4 of 7;6 of 10;17 of 24;19 of 21;33 of 113;41 of 97;3 of 5;3 of 5;1 of 1;17 of 35;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Darryl Guthmiller;October 05, 2012;Minneapolis, Minnesota, USA;Featherweight Bout;Diego Nunes
Darren Uyenoyama;Phil Harris;0;0;7 of 43;10 of 57;16%;17%;16 of 55;13 of 62;0 of 0;2 of 3;0%;66%;2;0;1;0;1;0;4 of 33;3 of 42;0 of 5;2 of 6;3 of 5;5 of 9;7 of 37;3 of 44;0 of 2;6 of 10;0 of 4;1 of 3;Submission;2;3:38;3 Rnd (5-5-5);Nick Gamst;October 05, 2012;Minneapolis, Minnesota, USA;Flyweight Bout;Darren Uyenoyama
Stefan Struve;Stipe Miocic;0;0;57 of 128;48 of 95;44%;50%;57 of 128;48 of 95;0 of 0;1 of 3;0%;33%;0;0;0;0;0;0;41 of 110;24 of 69;5 of 7;16 of 18;11 of 11;8 of 8;57 of 125;46 of 93;0 of 3;1 of 1;0 of 0;1 of 1;KO/TKO;2;3:50;5 Rnd (5-5-5-5-5);Herb Dean;September 29, 2012;Nottingham, England, United Kingdom;Heavyweight Bout;Stefan Struve
Dan Hardy;Amir Sadollah;0;0;65 of 141;61 of 134;46%;45%;102 of 180;70 of 144;3 of 7;0 of 2;42%;0%;0;0;0;0;0;0;51 of 126;31 of 91;5 of 6;13 of 21;9 of 9;17 of 22;38 of 98;42 of 109;10 of 16;18 of 24;17 of 27;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 29, 2012;Nottingham, England, United Kingdom;Welterweight Bout;Dan Hardy
Brad Pickett;Yves Jabouin;1;0;14 of 48;26 of 57;29%;45%;14 of 48;26 of 57;0 of 1;0 of 0;0%;0%;0;0;0;0;0;0;8 of 39;15 of 44;3 of 5;7 of 9;3 of 4;4 of 4;12 of 46;26 of 56;0 of 0;0 of 1;2 of 2;0 of 0;KO/TKO;1;3:40;3 Rnd (5-5-5);Leon Roberts;September 29, 2012;Nottingham, England, United Kingdom;Bantamweight Bout;Brad Pickett
Paul Sass;Matt Wiman;0;0;6 of 10;3 of 4;60%;75%;14 of 19;7 of 8;1 of 1;0 of 0;100%;0%;0;2;0;0;0;0;4 of 8;2 of 3;2 of 2;0 of 0;0 of 0;1 of 1;0 of 0;1 of 1;0 of 0;0 of 0;6 of 10;2 of 3;Submission;1;3:48;3 Rnd (5-5-5);Herb Dean;September 29, 2012;Nottingham, England, United Kingdom;Lightweight Bout;Matt Wiman
John Hathaway;John Maguire;0;0;41 of 135;13 of 41;30%;31%;126 of 231;31 of 60;1 of 2;1 of 3;50%;33%;0;0;4;1;0;0;20 of 109;11 of 39;7 of 11;0 of 0;14 of 15;2 of 2;28 of 115;11 of 37;1 of 1;0 of 1;12 of 19;2 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;September 29, 2012;Nottingham, England, United Kingdom;Welterweight Bout;John Hathaway
Che Mills;Duane Ludwig;0;0;8 of 13;2 of 10;61%;20%;16 of 25;5 of 13;2 of 2;0 of 0;100%;0%;0;0;3;0;0;0;6 of 11;2 of 10;2 of 2;0 of 0;0 of 0;0 of 0;1 of 2;1 of 7;2 of 3;1 of 2;5 of 8;0 of 1;KO/TKO;1;2:28;3 Rnd (5-5-5);Herb Dean;September 29, 2012;Nottingham, England, United Kingdom;Welterweight Bout;Che Mills
Kyle Kingsbury;Jimi Manuwa;0;1;28 of 44;53 of 77;63%;68%;58 of 74;55 of 79;2 of 8;0 of 0;25%;0%;0;1;4;0;0;0;4 of 20;32 of 56;9 of 9;14 of 14;15 of 15;7 of 7;11 of 26;35 of 57;17 of 18;16 of 18;0 of 0;2 of 2;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Leon Roberts;September 29, 2012;Nottingham, England, United Kingdom;Light Heavyweight Bout;Jimi Manuwa
